"Amount.Requested","Amount.Funded.By.Investors","Interest.Rate","Loan.Length","Loan.Purpose","Debt.To.Income.Ratio","State","Home.Ownership","Monthly.Income","FICO.Range","Open.CREDIT.Lines","Revolving.CREDIT.Balance","Inquiries.in.the.Last.6.Months","Employment.Length"
16000,16000,0.158,"60 months","car",0.1194,"west virginia","RENT",5250,"685-689",14,154,1,"3 years"
17350,7019.25,0.1355,"36 months","debt_consolidation",0.1852,"new hampshire","OWN",3666.67,"675-679",8,18966,2,"6 years"
8000,7975,0.079,"36 months","car",0.2962,"alabama","MORTGAGE",5583.33,"780-784",9,6065,1,"10+ years"
7200,7200,0.079,"36 months","debt_consolidation",0.0798,"georgia","RENT",5666.67,"720-724",5,8783,0,"3 years"
20125,20125,0.0762,"36 months","home_improvement",0.0429,"virginia","MORTGAGE",3750,"830-834",13,73952,0,"1 year"
12000,11875,0.089,"36 months","debt_consolidation",0.1206,"new york","RENT",5000,"715-719",11,14717,0,"4 years"
2400,1850,0.1249,"36 months","home_improvement",0.2056,"maryland","MORTGAGE",3448.33,"660-664",10,18749,5,"< 1 year"
3200,3200,0.1727,"36 months","home_improvement",0.0836,"hawaii","MORTGAGE",2500,"670-674",7,6619,1,"3 years"
12725,12725,0.1114,"36 months","debt_consolidation",0.2215,"texas","RENT",4416.67,"720-724",23,4079,0,"3 years"
5500,5500,0.1913,"36 months","credit_card",0.0358,"district of columbia","RENT",12000,"660-664",2,0,1,"8 years"
15650,15650,0.2174,"36 months","house",0.1386,"maryland","RENT",3700,"660-664",5,10605,1,"4 years"
9000,9000,0.1727,"36 months","credit_card",0.2522,"california","RENT",5166.67,"675-679",14,5852,1,"10+ years"
5000,5000,0.1186,"36 months","major_purchase",0.04,"texas","RENT",5577,"715-719",3,1069,0,"1 year"
3000,3000,0.1038,"36 months","debt_consolidation",0.1521,"pennsylvania","RENT",3083.33,"710-714",11,3098,0,"2 years"
20000,19975,0.2391,"60 months","debt_consolidation",0.0947,"california","MORTGAGE",11250,"670-674",5,11168,0,"< 1 year"
5450,5450,0.0749,"60 months","other",0.0248,"washington","MORTGAGE",4600,"785-789",14,4326,0,"10+ years"
14000,14000,0.1212,"36 months","debt_consolidation",0.1138,"new york","MORTGAGE",4500,"705-709",22,18583,0,"5 years"
8800,8799.04,0.1038,"60 months","credit_card",0.2159,"illinois","RENT",3750,"750-754",11,18694,1,"2 years"
3000,3000,0.1744,"36 months","other",0.1579,"maryland","RENT",7952,"660-664",4,12578,0,"8 years"
32000,32000,0.1727,"60 months","debt_consolidation",0.1561,"illinois","RENT",9250,"700-704",15,32566,1,"2 years"
22250,22250,0.2149,"60 months","debt_consolidation",0.2887,"hawaii","RENT",4166.67,"665-669",15,14107,0,"9 years"
7325,7300,0.178,"60 months","debt_consolidation",0.2037,"new york","OWN",3000,"680-684",6,13583,0,"5 years"
16450,16450,0.1114,"36 months","debt_consolidation",0.0757,"north carolina","RENT",7500,"725-729",5,2928,0,"1 year"
2500,2500,0.1298,"36 months","debt_consolidation",0.1645,"wisconsin","RENT",1100,"670-674",6,5019,1,"4 years"
6000,6000,0.0999,"36 months","other",0.075,"florida","MORTGAGE",2625,"715-719",4,5167,0,"10+ years"
27575,27575,0.1433,"36 months","debt_consolidation",0.1963,"california","MORTGAGE",5166.67,"690-694",6,8720,0,"10+ years"
1000,1000,0.0859,"36 months","educational",0.1069,"new york","OWN",4583.33,"755-759",22,17069,1,"< 1 year"
12000,12000,0.1149,"36 months","debt_consolidation",0.1285,"illinois","RENT",2708.33,"705-709",8,12150,1,"< 1 year"
30000,30000,0.1016,"36 months","debt_consolidation",0.2221,"south dakota","MORTGAGE",8000,"715-719",14,33218,0,"10+ years"
13500,13500,0.1433,"36 months","debt_consolidation",0.317,"west virginia","RENT",4166.67,"680-684",11,31168,0,"1 year"
9000,9000,0.158,"36 months","debt_consolidation",0.2265,"ohio","MORTGAGE",3250,"665-669",9,16480,0,"3 years"
15000,15000,0.0991,"36 months","debt_consolidation",0.0916,"alaska","MORTGAGE",4250,"730-734",11,11615,1,"10+ years"
5300,5300,0.079,"36 months","medical",0.1282,"california","RENT",5500,"725-729",8,9996,2,"1 year"
7000,7000,0.1311,"36 months","debt_consolidation",0.1676,"new jersey","RENT",3650,"685-689",12,6444,1,"5 years"
20000,19975,0.1629,"36 months","debt_consolidation",0.1185,"california","RENT",9166.67,"685-689",10,12421,3,"< 1 year"
15000,14993.57,0.1825,"60 months","debt_consolidation",0.1365,"california","RENT",2916.67,"705-709",4,12786,0,"< 1 year"
8000,8000,0.1409,"36 months","home_improvement",0.1206,"hawaii","RENT",5000,"695-699",10,15360,1,"6 years"
24000,23947.48,0.1903,"60 months","debt_consolidation",0.0363,"california","RENT",7500,"695-699",6,8568,1,"10+ years"
7500,7500,0.089,"36 months","debt_consolidation",0.1002,"delaware","RENT",5500,"715-719",9,2382,0,"6 years"
17000,16875,0.1183,"36 months","debt_consolidation",0.127,"georgia","RENT",4583.33,"735-739",5,3644,1,"6 years"
12000,12000,0.1727,"36 months","credit_card",0.1486,"new jersey","OWN",4583.33,"665-669",12,9145,1,"10+ years"
6000,6000,0.1531,"36 months","other",0.1591,"minnesota","RENT",3833.33,"670-674",11,5760,1,"10+ years"
4500,4500,0.0676,"36 months","debt_consolidation",0.1474,"west virginia","MORTGAGE",2666.67,"790-794",7,2705,0,"7 years"
1600,1600,0.1083,"36 months","other",0.0536,"rhode island","RENT",2427,"700-704",5,7020,0,"3 years"
10000,10000,0.1777,"36 months","wedding",0.304,"new york","OWN",2500,"665-669",5,8379,0,"8 years"
18550,18525,0.079,"36 months","debt_consolidation",0.1693,"georgia","MORTGAGE",5416.67,"725-729",10,28877,0,"3 years"
7450,7450,0.1306,"36 months","debt_consolidation",0.033,"washington","MORTGAGE",5883.33,"710-714",2,6416,1,"10+ years"
3225,3225,0.0762,"36 months","debt_consolidation",0.1779,"california","MORTGAGE",5833.33,"760-764",5,70323,1,"10+ years"
23675,23675,0.1777,"36 months","credit_card",0.2994,"pennsylvania","OWN",6399,"680-684",21,21920,0,"10+ years"
12000,12000,0.1212,"36 months","debt_consolidation",0.1862,"virginia","RENT",5833.33,"690-694",16,18838,0,"10+ years"
25000,25000,0.1649,"36 months","debt_consolidation",0.1818,"massachusetts","RENT",6000,"695-699",9,10630,2,"7 years"
16000,15850,0.1112,"36 months","credit_card",0.1786,"california","MORTGAGE",6666.67,"725-729",7,18659,4,"5 years"
4200,4175,0.089,"36 months","car",0.1016,"north carolina","MORTGAGE",3041.67,"810-814",4,1548,0,"10+ years"
10000,10000,0.1409,"36 months","debt_consolidation",0.2145,"colorado","RENT",4583.33,"675-679",11,8548,0,"6 years"
6000,6000,0.0751,"36 months","home_improvement",0.0252,"new jersey","MORTGAGE",4800,"750-754",4,1442,0,"10+ years"
6000,6000,0.1311,"36 months","debt_consolidation",0.1533,"kansas","RENT",3333.33,"685-689",7,12503,2,"2 years"
7925,7925,0.1629,"36 months","debt_consolidation",0.2125,"georgia","RENT",2000,"665-669",6,7840,0,"6 years"
16000,15925,0.0762,"36 months","debt_consolidation",0.0648,"illinois","MORTGAGE",6000,"765-769",8,19539,0,"n/a"
9525,9500,0.1581,"36 months","small_business",0.1135,"california","RENT",2666.67,"670-674",15,5610,1,"n/a"
6000,6000,0.1435,"36 months","debt_consolidation",0.1408,"illinois","MORTGAGE",2500,"675-679",9,3621,3,"< 1 year"
10000,9975,0.1496,"36 months","debt_consolidation",0.115,"florida","MORTGAGE",5250,"675-679",4,3035,5,"2 years"
7000,7000,0.0662,"36 months","major_purchase",0.0803,"new mexico","MORTGAGE",10000,"750-754",9,6761,1,"6 years"
4500,4500,0.0599,"36 months","debt_consolidation",0.1848,"california","MORTGAGE",10000,"765-769",18,17863,3,"6 years"
12000,12000,0.1114,"36 months","debt_consolidation",0.0237,"maryland","MORTGAGE",12500,"735-739",13,10944,0,"5 years"
10375,10375,0.1972,"36 months","debt_consolidation",0.0499,"connecticut","RENT",4166.67,"665-669",9,6122,1,"5 years"
4800,4800,0.1875,"36 months","other",0.1089,"new mexico","MORTGAGE",5833.33,"670-674",8,17943,0,"10+ years"
6400,6400,0.1311,"36 months","credit_card",0.1146,"louisiana","MORTGAGE",4666.67,"700-704",7,8942,1,"10+ years"
5000,5000,0.079,"36 months","debt_consolidation",0.1722,"california","OWN",4000,"705-709",10,6023,0,"10+ years"
12000,12000,0.0662,"36 months","credit_card",0.2166,"north carolina","RENT",5250,"740-744",11,20639,0,"< 1 year"
23850,23820.25,0.2148,"60 months","other",0.1875,"new york","MORTGAGE",4250,"690-694",23,37251,0,"4 years"
15000,15000,0.1065,"36 months","small_business",0.1615,"ohio","MORTGAGE",7083.33,"720-724",14,338,2,"9 years"
8000,8000,0.0762,"36 months","other",0,"north carolina","MORTGAGE",3500,"765-769",7,0,1,"n/a"
20000,20000,0.0603,"36 months","credit_card",0.1867,"florida","MORTGAGE",14583.33,"715-719",9,29044,0,"7 years"
20000,19975,0.1311,"36 months","debt_consolidation",0.1509,"north carolina","RENT",8233.33,"710-714",17,29756,2,"< 1 year"
10000,10000,0.1409,"36 months","debt_consolidation",0.1059,"california","RENT",2916.67,"690-694",9,10390,3,"< 1 year"
18825,18825,0.1409,"36 months","credit_card",0.1308,"michigan","RENT",4000,"710-714",6,20694,1,"4 years"
35000,34975,0.079,"36 months","small_business",0.0159,"illinois","RENT",18333.33,"775-779",10,1992,0,"1 year"
9000,9000,0.0603,"36 months","vacation",0.0558,"new jersey","MORTGAGE",9583.33,"815-819",11,675,0,"n/a"
4000,4000,0.0617,"36 months","home_improvement",0.15,"connecticut","RENT",4234,"745-749",5,587,1,"2 years"
5750,5750,0.1399,"36 months","credit_card",0.1244,"california","RENT",5000,"660-664",13,12465,0,"10+ years"
20950,20950,0.158,"36 months","debt_consolidation",0.1571,"massachusetts","MORTGAGE",12916.67,"690-694",8,30188,1,"4 years"
8000,8000,0.1099,"36 months","credit_card",0.1476,"new york","RENT",7500,"710-714",9,7120,2,"< 1 year"
10000,10000,0.1016,"36 months","debt_consolidation",0.093,"texas","MORTGAGE",3333.33,"725-729",8,8940,2,"n/a"
10000,10000,0.1409,"36 months","small_business",0.1476,"new york","RENT",5000,"675-679",7,4762,0,"4 years"
14000,14000,0.0603,"36 months","credit_card",0.1953,"connecticut","MORTGAGE",6000,"765-769",13,4140,0,"8 years"
5000,5000,0.0766,"36 months","credit_card",0.0333,"rhode island","RENT",9000,"735-739",3,12297,0,"10+ years"
25000,25000,0.1905,"60 months","debt_consolidation",0.1053,"illinois","MORTGAGE",6250,"700-704",8,15159,1,"9 years"
35000,35000,0.089,"36 months","debt_consolidation",0.1462,"california","RENT",10416.67,"735-739",9,21321,0,"10+ years"
7200,7175,0.1114,"36 months","debt_consolidation",0.2789,"oklahoma","MORTGAGE",3750,"690-694",8,20342,0,"10+ years"
14000,14000,0.0849,"60 months","debt_consolidation",0.0989,"california","MORTGAGE",9000,"760-764",17,23773,0,"4 years"
15000,14975,0.1521,"36 months","debt_consolidation",0.191,"texas","RENT",5132,"680-684",4,34044,1,"3 years"
25000,25000,0.1972,"60 months","debt_consolidation",0.321,"new york","OWN",4916.67,"695-699",21,35208,1,"7 years"
10800,10800,0.1465,"36 months","debt_consolidation",0.0789,"california","RENT",9583.33,"675-679",6,6487,1,"< 1 year"
20000,20000,0.1433,"36 months","credit_card",0.2144,"georgia","MORTGAGE",6250,"700-704",9,14268,1,"9 years"
4000,4000,0.1074,"36 months","debt_consolidation",0.0197,"kansas","RENT",2900,"695-699",13,1869,1,"n/a"
16000,15950,0.157,"36 months","debt_consolidation",0.2351,"ohio","MORTGAGE",9333.33,"675-679",20,12721,5,"10+ years"
1400,1400,0.0976,"36 months","vacation",0.2714,"nevada","MORTGAGE",4683.33,"730-734",6,6466,0,"2 years"
7500,7500,0.1632,"36 months","debt_consolidation",0.1254,"california","MORTGAGE",4600,"665-669",3,6120,0,"2 years"
24625,917.28,0.1407,"36 months","credit_card",0.1281,"new york","MORTGAGE",10000,"675-679",14,33698,0,"8 years"
5000,5000,0.1409,"36 months","debt_consolidation",0.2902,"florida","MORTGAGE",5416.67,"680-684",11,3977,1,"< 1 year"
25000,24975,0.0991,"36 months","debt_consolidation",0.2049,"new york","RENT",7916.67,"725-729",14,27203,0,"1 year"
7500,7500,0.164,"36 months","debt_consolidation",0.1334,"california","RENT",4166.67,"660-664",8,7430,0,"< 1 year"
34500,34450,0.0662,"36 months","small_business",0.1646,"california","MORTGAGE",10000,"805-809",8,5317,0,"9 years"
10000,10000,0.0579,"36 months","debt_consolidation",0.0649,"georgia","MORTGAGE",12500,"745-749",17,75629,0,"1 year"
3200,3200,0.0988,"36 months","debt_consolidation",0.0651,"massachusetts","RENT",4500,"740-744",7,3198,0,"5 years"
5500,5500,0.1599,"60 months","debt_consolidation",0.1795,"rhode island","RENT",4250,"700-704",16,13256,0,"10+ years"
3000,3000,0.0976,"36 months","debt_consolidation",0.2182,"virginia","OWN",1100,"720-724",4,2413,0,"n/a"
18000,18000,0.2328,"60 months","debt_consolidation",0.0905,"wisconsin","RENT",7083.33,"660-664",6,13106,0,"10+ years"
10000,9700,0.0963,"36 months","debt_consolidation",0.1377,"oklahoma","MORTGAGE",4190,"735-739",6,1251,1,"< 1 year"
8800,8800,0.1311,"36 months","credit_card",0.1673,"wisconsin","RENT",3150.25,"700-704",13,14266,1,"4 years"
7000,7000,0.1114,"36 months","debt_consolidation",0.2302,"texas","MORTGAGE",6000,"705-709",17,19634,2,"6 years"
8000,8000,0.1311,"36 months","debt_consolidation",0.1901,"alaska","RENT",2625,"725-729",8,7554,1,"5 years"
3000,3000,0.1727,"36 months","credit_card",0.1662,"south carolina","RENT",3833.33,"660-664",4,4136,0,"n/a"
12000,11975,0.0751,"36 months","debt_consolidation",0.1191,"maryland","RENT",7500,"735-739",18,33702,1,"10+ years"
3600,3575,0.1411,"36 months","small_business",4e-04,"wisconsin","RENT",2500,"725-729",4,1,0,"3 years"
11625,11625,0.1433,"36 months","debt_consolidation",0.2284,"new york","MORTGAGE",2833.33,"705-709",6,27411,2,"8 years"
30000,30000,0.2149,"36 months","credit_card",0.167,"maryland","MORTGAGE",12500,"670-674",14,19096,2,"9 years"
16000,16000,0.089,"36 months","debt_consolidation",0.1971,"colorado","RENT",7083.33,"720-724",11,6185,1,"4 years"
10800,10700,0.1075,"36 months","major_purchase",0.1532,"florida","MORTGAGE",8400,"715-719",6,24675,0,"10+ years"
25000,23655.48,0.1669,"60 months","debt_consolidation",0.1411,"colorado","MORTGAGE",7666.67,"705-709",15,28748,3,"8 years"
10000,10000,0.1398,"60 months","other",0.1486,"missouri","RENT",3916.67,"710-714",9,5188,4,"4 years"
12375,275,0.1091,"36 months","small_business",0.1639,"virginia","MORTGAGE",3892.75,"690-694",11,8332,2,"3 years"
6000,6000,0.1148,"36 months","credit_card",0.182,"new york","MORTGAGE",5031.67,"705-709",9,50935,0,"10+ years"
8000,8000,0.1349,"36 months","debt_consolidation",0.1492,"colorado","RENT",5000,"685-689",18,4786,1,"2 years"
15000,15000,0.1825,"36 months","credit_card",0.0973,"georgia","MORTGAGE",5000,"660-664",11,14596,0,"8 years"
7000,7000,0.1777,"36 months","other",0.3225,"new york","RENT",3333.33,"665-669",12,35604,3,"7 years"
8400,8400,0.0692,"36 months","renewable_energy",0.133,"maryland","RENT",3000,"745-749",9,6998,1,"1 year"
15000,15000,0.079,"36 months","debt_consolidation",0.1862,"pennsylvania","MORTGAGE",4500,"740-744",10,17212,0,"7 years"
15000,14925,0.1433,"36 months","debt_consolidation",0.133,"texas","RENT",5000,"665-669",7,11368,1,"< 1 year"
2800,2800,0.1016,"36 months","major_purchase",0.12,"new york","RENT",2083.33,"695-699",7,7261,0,"< 1 year"
7750,7750,0.1629,"36 months","debt_consolidation",0.2674,"florida","MORTGAGE",2916.67,"680-684",18,17102,0,"5 years"
4500,4500,0.089,"36 months","credit_card",0.1818,"utah","RENT",2166.67,"700-704",8,5361,0,"4 years"
17500,17375,0.1253,"36 months","debt_consolidation",0.2163,"colorado","RENT",3666.67,"715-719",7,20010,0,"6 years"
18000,18000,0.1531,"60 months","debt_consolidation",0.0493,"california","RENT",5258.5,"710-714",6,11596,0,"10+ years"
15000,14975,0.1527,"60 months","debt_consolidation",0.179,"pennsylvania","MORTGAGE",2748,"720-724",14,7956,1,"6 years"
6000,6000,0.1523,"36 months","credit_card",0.1957,"kansas","OWN",4583.33,"665-669",13,8077,1,"1 year"
11500,11475,0.1114,"36 months","credit_card",0.2825,"california","RENT",2750,"700-704",6,9079,0,"5 years"
10000,10000,0.1311,"36 months","credit_card",0.0756,"pennsylvania","RENT",2500,"685-689",8,10906,0,"7 years"
12000,12000,0.089,"36 months","credit_card",0.1246,"maryland","RENT",5000,"725-729",5,13940,0,"10+ years"
10000,10000,0.1212,"36 months","debt_consolidation",0.184,"california","MORTGAGE",5000,"685-689",7,13202,0,"10+ years"
35000,34975,0.2128,"60 months","debt_consolidation",0.1821,"alabama","RENT",7916.67,"680-684",8,19789,2,"10+ years"
7200,7100,0.1038,"60 months","major_purchase",0.1797,"pennsylvania","RENT",3000,"750-754",7,2753,1,"2 years"
4000,3975,0.079,"60 months","car",0.0448,"texas","OWN",4000,"800-804",16,6696,0,"< 1 year"
5300,5200,0.1114,"36 months","debt_consolidation",0.0847,"utah","MORTGAGE",8333.33,"740-744",5,73258,1,"3 years"
1200,1200,0.0762,"36 months","other",0.0869,"new york","MORTGAGE",3833.33,"730-734",14,350,1,"7 years"
2500,2500,0.1114,"36 months","major_purchase",0.1008,"california","RENT",4333.33,"720-724",4,4922,0,"3 years"
17000,16975,0.1433,"36 months","debt_consolidation",0.2635,"minnesota","OWN",7500,"700-704",21,39130,3,"10+ years"
16000,16000,0.079,"36 months","credit_card",0.123,"california","MORTGAGE",8416.67,"695-699",14,21913,1,"5 years"
10000,9950,0.1269,"36 months","debt_consolidation",0.038,"california","MORTGAGE",6666.67,"695-699",8,7967,1,"3 years"
5000,5000,0.1016,"36 months","debt_consolidation",0.245,"alabama","MORTGAGE",6250,"700-704",9,33705,0,"6 years"
4375,4375,0.1905,"36 months","credit_card",0.0909,"california","RENT",2916.67,"670-674",9,6944,2,"6 years"
8500,8475,0.0603,"36 months","home_improvement",0.1233,"missouri","MORTGAGE",6100,"745-749",17,6370,0,"10+ years"
12000,12000,0.1689,"60 months","small_business",0.1524,"ohio","MORTGAGE",7500,"675-679",14,28589,2,"3 years"
6200,6100,0.0859,"36 months","other",0.191,"wisconsin","RENT",5000,"740-744",17,9367,0,"1 year"
7000,7000,0.1849,"36 months","debt_consolidation",0.189,"arkansas","MORTGAGE",2000,"660-664",10,7315,2,"1 year"
20800,20800,0.1269,"60 months","debt_consolidation",0.0708,"georgia","MORTGAGE",6541.67,"730-734",9,13197,0,"1 year"
19200,19200,0.1311,"60 months","other",0.0345,"illinois","MORTGAGE",8333.33,"745-749",14,50625,3,"2 years"
22000,22000,0.158,"60 months","debt_consolidation",0.2132,"kentucky","MORTGAGE",5416.67,"700-704",9,10267,1,"10+ years"
15000,15000,0.1905,"36 months","debt_consolidation",0.2488,"arizona","RENT",6000,"675-679",12,12162,0,"1 year"
7000,6965.1,0.1947,"36 months","debt_consolidation",0.1708,"new jersey","RENT",5000,"665-669",11,13859,0,"3 years"
20000,20000,0.089,"36 months","credit_card",0.1708,"colorado","RENT",4916.67,"730-734",10,14952,2,"4 years"
2000,2000,0.0617,"36 months","moving",0.1835,"washington","RENT",5733.58,"745-749",9,21998,0,"3 years"
18000,17738.58,0.1059,"60 months","major_purchase",0.1503,"ohio","MORTGAGE",4000,"755-759",9,6718,0,"10+ years"
20800,20775,0.1148,"36 months","home_improvement",0.2177,"california","OWN",11666.67,"790-794",6,682,1,"10+ years"
9000,8875,0.0788,"36 months","debt_consolidation",0.1451,"massachusetts","MORTGAGE",5708.33,"725-729",9,12217,0,"7 years"
6000,6000,0.1409,"36 months","credit_card",0.225,"utah","RENT",2666.67,"670-674",18,5955,0,"10+ years"
5000,5000,0.158,"36 months","debt_consolidation",0.342,"california","RENT",3750,"665-669",18,5414,3,"3 years"
12000,11975,0.1483,"60 months","credit_card",0.2231,"california","RENT",4186,"685-689",9,9398,0,"3 years"
7000,1998,0.08,"36 months","credit_card",0.0636,"arizona","MORTGAGE",7583.33,"750-754",9,21135,0,"10+ years"
6000,5950,0.1,"36 months","major_purchase",0.0874,"florida","MORTGAGE",15416.67,"715-719",9,105730,1,"10+ years"
17000,16975,0.1398,"36 months","debt_consolidation",0.1765,"texas","MORTGAGE",9166.67,"700-704",14,16230,4,"3 years"
12000,11975,0.0894,"36 months","credit_card",0.1899,"texas","RENT",4750,"750-754",13,25577,1,"4 years"
16350,16350,0.079,"36 months","credit_card",0.2503,"minnesota","OWN",4541.67,"730-734",7,25731,0,"9 years"
20000,20000,0.079,"36 months","debt_consolidation",0.2004,"texas","MORTGAGE",4625,"755-759",14,31335,1,"10+ years"
12300,12300,0.1212,"36 months","debt_consolidation",0.1001,"california","RENT",6583.33,"690-694",15,12450,0,"1 year"
4800,4800,0.1311,"36 months","moving",0.0461,"texas","RENT",2666.67,"690-694",3,7911,0,"< 1 year"
14500,14500,0.079,"36 months","credit_card",0.1196,"illinois","RENT",4500,"735-739",8,16398,0,"6 years"
4200,4200,0.089,"36 months","debt_consolidation",0.1043,"california","MORTGAGE",2254,"700-704",7,4490,0,"n/a"
22250,22250,0.1409,"36 months","credit_card",0.321,"minnesota","MORTGAGE",6583.33,"690-694",18,44868,0,"10+ years"
8000,8000,0.1409,"36 months","home_improvement",0.0768,"illinois","RENT",25000,"675-679",6,28579,1,"8 years"
8325,8325,0.1777,"36 months","debt_consolidation",0.2075,"missouri","RENT",2000,"665-669",7,7676,0,"< 1 year"
14000,14000,0.1311,"36 months","debt_consolidation",0.0812,"california","OWN",10416.67,"730-734",4,4776,0,"7 years"
9000,9000,0.1016,"36 months","debt_consolidation",0.0398,"maryland","MORTGAGE",6000,"705-709",6,5659,0,"7 years"
16000,16000,0.1311,"36 months","credit_card",0.1761,"georgia","MORTGAGE",6083.33,"680-684",13,15148,0,"2 years"
15200,13694.22,0.1114,"36 months","credit_card",0.145,"arizona","MORTGAGE",7916.67,"760-764",7,217827,2,"6 years"
24000,24000,0.1065,"36 months","debt_consolidation",0.148,"california","RENT",3750,"725-729",5,24708,0,"10+ years"
16450,16450,0.1531,"36 months","debt_consolidation",0.1166,"ohio","MORTGAGE",6666.67,"685-689",8,12697,3,"9 years"
7500,7500,0.1212,"36 months","home_improvement",0.2656,"new hampshire","MORTGAGE",5000,"710-714",8,9047,1,"10+ years"
4750,4750,0.2247,"36 months","debt_consolidation",0.2445,"utah","RENT",1333.33,"665-669",9,4752,2,"< 1 year"
6500,6500,0.079,"36 months","debt_consolidation",0.1256,"arkansas","RENT",6750,"720-724",17,33229,0,"8 years"
5500,5450,0.1867,"60 months","debt_consolidation",0.1771,"new york","RENT",1750,"660-664",6,4492,6,"2 years"
9600,9600,0.0603,"36 months","home_improvement",0.0752,"alabama","MORTGAGE",6250,"750-754",7,765,0,"< 1 year"
12000,11975,0.1212,"36 months","major_purchase",0.3134,"new york","OWN",4166.67,"710-714",21,28703,2,"3 years"
2000,2000,0.0751,"36 months","other",0.1673,"california","RENT",1500,"730-734",5,2925,0,"4 years"
18000,18000,0.2489,"60 months","moving",0.1488,"vermont","RENT",4000,"665-669",10,7377,3,"8 years"
